"EmployeeID";"NationalIDNumber";"ContactID";"LoginID";"ManagerID";"Title";"BirthDate";"MaritalStatus";"Gender";"HireDate";"SalariedFlag";"VacationHours";"SickLeaveHours";"CurrentFlag";"rowguid";"ModifiedDate"
17;"565090917";1074;"adventure-works\doris0";185;"Production Technician - WC10";06/05/1946 00:00:00;"M";"F";11/04/1998 00:00:00;false;86;63;true;0x26882B69B4033B4C82FC1FC6F1409689;31/07/2004 00:00:00
18;"494170342";1069;"adventure-works\john0";21;"Production Supervisor - WC60";08/09/1946 00:00:00;"M";"M";18/04/1998 00:00:00;false;81;60;true;0x781FEDD4287C9B47BFEFA73228BA2AAA;31/07/2004 00:00:00
19;"9659517";1075;"adventure-works\diane0";185;"Production Technician - WC10";30/04/1946 00:00:00;"M";"F";29/04/1998 00:00:00;false;87;63;true;0xD2B234C3560C06499095F1D07A98CBEC;31/07/2004 00:00:00
20;"443968955";1129;"adventure-works\steven0";173;"Production Technician - WC30";15/06/1967 00:00:00;"M";"M";02/01/1999 00:00:00;false;41;40;true;0xC937890AAA68484DBA4EB40493D764AA;31/07/2004 00:00:00
21;"277173473";1231;"adventure-works\peter0";148;"Production Control Manager";04/12/1972 00:00:00;"M";"M";02/01/1999 00:00:00;true;43;41;true;0x62D1D56917E8E7459DEC5D9B8310E7B1;26/01/2005 09:17:08
22;"835460180";1172;"adventure-works\stuart0";197;"Production Technician - WC45";14/10/1952 00:00:00;"S";"M";03/01/1999 00:00:00;false;84;62;true;0x4F1B364F207937409A0A46D616F9B9C7;31/07/2004 00:00:00
23;"687685941";1173;"adventure-works\greg0";197;"Production Technician - WC45";18/11/1960 00:00:00;"S";"M";03/01/1999 00:00:00;false;85;62;true;0x6B5D6BA3A572F8479F6B5D922130E760;31/07/2004 00:00:00
24;"498138869";1113;"adventure-works\david1";184;"Production Technician - WC30";03/12/1969 00:00:00;"S";"M";03/01/1999 00:00:00;false;25;32;true;0x2EE97EEDD0A93A4E8DEE4B143E459F7E;31/07/2004 00:00:00
25;"360868122";1054;"adventure-works\zheng0";21;"Production Supervisor - WC10";26/11/1973 00:00:00;"S";"M";04/01/1999 00:00:00;false;66;53;true;0x40275FC7E3ACBF4E91C57AB352E1095F;31/07/2004 00:00:00
26;"964089218";1097;"adventure-works\ivo0";108;"Production Technician - WC20";04/02/1972 00:00:00;"M";"M";05/01/1999 00:00:00;false;9;24;true;0xF3263AD8A77E7B47A5BB7EAADFC13A09;31/07/2004 00:00:00
27;"384162788";1156;"adventure-works\paul0";87;"Production Technician - WC40";15/12/1970 00:00:00;"S";"M";05/01/1999 00:00:00;false;68;54;true;0x9E0417026615B642802741B751E2B00B;31/07/2004 00:00:00
28;"749389530";1258;"adventure-works\ashvini0";150;"Network Administrator";28/04/1967 00:00:00;"S";"M";05/01/1999 00:00:00;false;70;55;true;0x1C0C682E027C434396266F97273414C0;31/07/2004 00:00:00
29;"571658797";1199;"adventure-works\kendall0";14;"Production Technician - WC50";30/06/1976 00:00:00;"M";"M";06/01/1999 00:00:00;false;11;25;true;0x2776206521558E4AAD3CB2F1B5226B85;31/07/2004 00:00:00
30;"535145551";1242;"adventure-works\paula0";140;"Human Resources Manager";14/03/1966 00:00:00;"M";"F";07/01/1999 00:00:00;true;54;47;true;0x158F02654941E54DB2039D7EC86BAF87;31/07/2004 00:00:00
31;"761597760";1140;"adventure-works\alejandro0";210;"Production Technician - WC40";06/01/1979 00:00:00;"S";"M";07/01/1999 00:00:00;false;52;46;true;0xD221738C642C02499D648F5C1EB7F747;31/07/2004 00:00:00
32;"271438431";1122;"adventure-works\garrett0";184;"Production Technician - WC30";26/09/1974 00:00:00;"S";"M";08/01/1999 00:00:00;false;34;37;true;0x2FF7F5A603AAB7418B6EB123BD360753;31/07/2004 00:00:00
33;"160739235";1124;"adventure-works\jianshuo0";135;"Production Technician - WC30";27/08/1973 00:00:00;"S";"M";08/01/1999 00:00:00;false;36;38;true;0x6A13FF6F6496B94E9243FAC76E21B9DD;31/07/2004 00:00:00
34;"586486572";1285;"adventure-works\susan0";85;"Stocker";20/03/1968 00:00:00;"S";"F";08/01/1999 00:00:00;false;97;68;true;0xD6CF3E9202E29A4291416CB183531439;31/07/2004 00:00:00
35;"337752649";1283;"adventure-works\vamsi0";85;"Shipping and Receiving Clerk";19/04/1967 00:00:00;"M";"M";08/01/1999 00:00:00;false;95;67;true;0xB28A83A8DE995C418675D82EBF1C4752;31/07/2004 00:00:00
36;"113695504";1183;"adventure-works\alice0";38;"Production Technician - WC50";27/02/1968 00:00:00;"M";"F";08/01/1999 00:00:00;false;95;67;true;0x212B637E110DBA4B8A688CAE14C20AE6;31/07/2004 00:00:00
37;"276751903";1226;"adventure-works\simon0";7;"Production Technician - WC60";17/06/1980 00:00:00;"S";"M";09/01/1999 00:00:00;false;38;39;true;0x8AD334F7B5561E478DEDA682E958A9B3;31/07/2004 00:00:00
38;"630184120";1065;"adventure-works\jinghao0";21;"Production Supervisor - WC50";09/03/1979 00:00:00;"S";"M";09/01/1999 00:00:00;false;77;58;true;0xD307CA2BACF20644904FE09156F3EB3E;31/07/2004 00:00:00
39;"545337468";1108;"adventure-works\michael0";182;"Production Technician - WC20";19/12/1974 00:00:00;"S";"M";10/01/1999 00:00:00;false;20;30;true;0x82FED64F5A53D14DBEB1154A8B5E42F0;31/07/2004 00:00:00
40;"713403643";1167;"adventure-works\yvonne0";159;"Production Technician - WC45";17/05/1979 00:00:00;"M";"F";10/01/1999 00:00:00;false;79;59;true;0xBFDAC6837DFD5B4FBB22EB7EEBB9A772;31/07/2004 00:00:00
41;"885055826";1269;"adventure-works\peng0";200;"Quality Assurance Supervisor";19/04/1966 00:00:00;"M";"M";10/01/1999 00:00:00;true;81;60;true;0x13D649E2C93644459B6F6CE50E5E0DA5;31/07/2004 00:00:00
42;"441044382";1253;"adventure-works\jean0";109;"Information Services Manager";13/01/1966 00:00:00;"S";"F";12/01/1999 00:00:00;true;65;52;true;0x1F0B4A796AC41C40984D008996FC7092;31/07/2004 00:00:00
43;"718299860";1194;"adventure-works\russell0";74;"Production Technician - WC50";27/12/1962 00:00:00;"M";"M";13/01/1999 00:00:00;false;6;23;true;0x2F19106B70D5C44782C93D979B1EFDC1;31/07/2004 00:00:00
44;"685233686";1232;"adventure-works\ascott0";148;"Master Scheduler";19/10/1958 00:00:00;"S";"M";13/01/1999 00:00:00;false;44;42;true;0x6292901336412F49BCA30B0E3773B03E;26/01/2005 09:17:08
45;"295971920";1135;"adventure-works\fred0";210;"Production Technician - WC40";27/07/1979 00:00:00;"S";"M";13/01/1999 00:00:00;false;47;43;true;0xE88A35450E0B114C90BBDAC3EC0D5C82;31/07/2004 00:00:00
46;"95958330";1033;"adventure-works\sariya0";6;"Marketing Specialist";21/06/1977 00:00:00;"S";"M";13/01/1999 00:00:00;false;45;42;true;0xB7F121AF9106AD48B325B8F2D7B2268A;31/07/2004 00:00:00
47;"332040978";1237;"adventure-works\willis0";30;"Recruiter";18/08/1968 00:00:00;"S";"M";14/01/1999 00:00:00;false;49;44;true;0xCC6ED8A117EA1B4B8369F1D07AB0A469;31/07/2004 00:00:00
48;"857651804";1178;"adventure-works\jun0";38;"Production Technician - WC50";06/08/1969 00:00:00;"S";"M";15/01/1999 00:00:00;false;90;65;true;0xD1845F9C96FB824D92A1F932903DEAAD;31/07/2004 00:00:00
49;"553069203";1280;"adventure-works\christian0";218;"Maintenance Supervisor";18/02/1966 00:00:00;"M";"M";15/01/1999 00:00:00;true;92;66;true;0xC5C71146A0907F40B05493BD51533609;31/07/2004 00:00:00
50;"351069889";1119;"adventure-works\susan1";184;"Production Technician - WC30";03/05/1973 00:00:00;"S";"F";15/01/1999 00:00:00;false;31;35;true;0xD5753DF77BB4EE46AD117BF13DD6C55D;31/07/2004 00:00:00
51;"370989364";1060;"adventure-works\reuben0";21;"Production Supervisor - WC40";27/09/1977 00:00:00;"M";"M";16/01/1999 00:00:00;false;72;56;true;0xA6E2EE71B3B9F44B894901239DF7C901;31/07/2004 00:00:00
52;"275962311";1162;"adventure-works\kirk0";123;"Production Technician - WC45";10/03/1975 00:00:00;"S";"M";16/01/1999 00:00:00;false;74;57;true;0xAA5BD2087B169C498B5131DCC856A8CF;31/07/2004 00:00:00
53;"36151748";1221;"adventure-works\david2";18;"Production Technician - WC60";30/01/1975 00:00:00;"M";"M";16/01/1999 00:00:00;false;33;36;true;0xB87B61FCA3D27443873C8EF38D80127D;31/07/2004 00:00:00
54;"540688287";1264;"adventure-works\tengiz0";90;"Control Specialist";29/05/1980 00:00:00;"S";"M";17/01/1999 00:00:00;false;76;58;true;0xB2B309C669790C41934C62C34B63C4EE;31/07/2004 00:00:00
55;"568596888";1103;"adventure-works\hanying0";143;"Production Technician - WC20";16/11/1964 00:00:00;"S";"M";17/01/1999 00:00:00;false;15;27;true;0xBC718B618C6E2D498862B9EFB7A4E06A;31/07/2004 00:00:00
56;"918737118";1146;"adventure-works\kevin1";210;"Production Technician - WC40";26/01/1976 00:00:00;"S";"M";18/01/1999 00:00:00;false;58;49;true;0xFF957EDC5E27C2418ED3686864F0540A;31/07/2004 00:00:00
57;"801758002";1205;"adventure-works\annik0";16;"Production Technician - WC60";27/01/1967 00:00:00;"M";"M";18/01/1999 00:00:00;false;17;28;true;0xACE6FD5150BD7C4690E510CA7310455C;31/07/2004 00:00:00
58;"415823523";1181;"adventure-works\suroor0";38;"Production Technician - WC50";28/03/1968 00:00:00;"S";"M";18/01/1999 00:00:00;false;93;66;true;0x0E0B011401C1414EB78821923399E512;31/07/2004 00:00:00
59;"363923697";1248;"adventure-works\deborah0";139;"Accounts Receivable Specialist";07/04/1966 00:00:00;"M";"F";19/01/1999 00:00:00;false;60;50;true;0x5454F7098C02CA46BC080147BD0220D7;31/07/2004 00:00:00
60;"674171828";1189;"adventure-works\jim0";74;"Production Technician - WC50";09/10/1976 00:00:00;"M";"M";20/01/1999 00:00:00;false;1;20;true;0x6E877561CC8F1749BE06FC358515E6DF;31/07/2004 00:00:00
61;"138280935";1130;"adventure-works\carole0";173;"Production Technician - WC30";19/11/1973 00:00:00;"M";"F";20/01/1999 00:00:00;false;42;41;true;0xF1416AC790A3E44AA82A2A87764C6391;31/07/2004 00:00:00
62;"476115505";1114;"adventure-works\george0";184;"Production Technician - WC30";18/05/1967 00:00:00;"M";"M";22/01/1999 00:00:00;false;26;33;true;0xA219B101F32A7547818EB421FECB07A7;31/07/2004 00:00:00
63;"502058701";1157;"adventure-works\gary0";87;"Production Technician - WC40";17/06/1978 00:00:00;"S";"M";23/01/1999 00:00:00;false;69;54;true;0x52603DA0851FBE4EAAC9B67CFDCD91A6;31/07/2004 00:00:00
64;"7201901";1055;"adventure-works\cristian0";21;"Production Supervisor - WC10";13/05/1974 00:00:00;"M";"M";23/01/1999 00:00:00;false;67;53;true;0x1664E15B70857D419E54047DB468B5E9;31/07/2004 00:00:00
65;"97728960";1098;"adventure-works\raymond0";143;"Production Technician - WC20";02/04/1957 00:00:00;"M";"M";24/01/1999 00:00:00;false;10;25;true;0xFBE1019F93B8CC409F5CAAF89F9B7AF5;31/07/2004 00:00:00
66;"525932996";1259;"adventure-works\janaina0";42;"Application Specialist";03/03/1975 00:00:00;"M";"F";24/01/1999 00:00:00;true;71;55;true;0xC7351524317A6A4A9E0DA83C30C2EDDA;31/07/2004 00:00:00
67;"843479922";1200;"adventure-works\bob0";14;"Production Technician - WC50";16/09/1969 00:00:00;"S";"M";25/01/1999 00:00:00;false;12;26;true;0xEA6A6168E5814049A7E46FBA882BCCF6;31/07/2004 00:00:00
68;"370487086";1141;"adventure-works\shammi0";210;"Production Technician - WC40";05/11/1970 00:00:00;"M";"M";25/01/1999 00:00:00;false;53;46;true;0x940CEF9B697905499A42CE469C754800;31/07/2004 00:00:00
69;"54759846";1184;"adventure-works\linda0";38;"Production Technician - WC50";17/08/1977 00:00:00;"M";"F";26/01/1999 00:00:00;false;96;68;true;0x9C7584FB87B6B2438727125EFE0F5E13;31/07/2004 00:00:00
70;"619308550";1239;"adventure-works\mindy0";30;"Benefits Specialist";22/12/1974 00:00:00;"M";"F";26/01/1999 00:00:00;false;51;45;true;0xB67A4D83E6064449B42F028CD4BD388E;31/07/2004 00:00:00
71;"121491555";1243;"adventure-works\wendy0";140;"Finance Manager";12/11/1974 00:00:00;"S";"F";26/01/1999 00:00:00;true;55;47;true;0x0804418FA84A674D886D530BFE4EBE3B;31/07/2004 00:00:00
72;"420776180";1286;"adventure-works\kim0";85;"Stocker";01/06/1974 00:00:00;"S";"F";27/01/1999 00:00:00;false;98;69;true;0x97F150612379D44084F2936207D468AB;31/07/2004 00:00:00
73;"604664374";1125;"adventure-works\sandra0";135;"Production Technician - WC30";06/12/1965 00:00:00;"M";"F";27/01/1999 00:00:00;false;37;38;true;0xF93F9FF6E0E11944A6BFF705E1556160;31/07/2004 00:00:00
74;"778552911";1066;"adventure-works\kok-ho0";21;"Production Supervisor - WC50";30/05/1970 00:00:00;"S";"M";28/01/1999 00:00:00;false;78;59;true;0x0F2CFB5705B1F049967A88F3D743CB3F;31/07/2004 00:00:00
75;"435234965";1168;"adventure-works\douglas0";159;"Production Technician - WC45";26/12/1975 00:00:00;"M";"M";28/01/1999 00:00:00;false;80;60;true;0xEBEDB01A5875344784235A11B44DCA35;31/07/2004 00:00:00
76;"339712426";1227;"adventure-works\james0";7;"Production Technician - WC60";26/08/1974 00:00:00;"M";"M";28/01/1999 00:00:00;false;39;39;true;0x5A2DE5825B166D4C9773C3A6B6332ECD;31/07/2004 00:00:00
77;"403414852";1270;"adventure-works\sean0";41;"Quality Assurance Technician";07/04/1966 00:00:00;"S";"M";29/01/1999 00:00:00;false;82;61;true;0xCF28E13404D9274380149DF0D5DE7D08;31/07/2004 00:00:00
78;"368920189";1109;"adventure-works\nitin0";182;"Production Technician - WC20";01/01/1977 00:00:00;"S";"M";29/01/1999 00:00:00;false;21;30;true;0x8767BCEB2D3F6B4F9EA34DEF02EF382E;31/07/2004 00:00:00
79;"811994146";1050;"adventure-works\diane1";158;"Research and Development Engineer";06/07/1976 00:00:00;"S";"F";30/01/1999 00:00:00;true;62;51;true;0x352611313B661840B4A2A685C0BF48A4;31/07/2004 00:00:00
80;"330211482";1211;"adventure-works\rebecca0";16;"Production Technician - WC60";11/08/1967 00:00:00;"M";"F";30/01/1999 00:00:00;false;23;31;true;0x5CEBADBD96A5A14D88BA842C7A0CC10F;31/07/2004 00:00:00
81;"632092621";1136;"adventure-works\rajesh0";210;"Production Technician - WC40";05/11/1967 00:00:00;"M";"M";01/02/1999 00:00:00;false;48;44;true;0x0CB4A7ACC07AAA4DB4C71051D850D7D9;31/07/2004 00:00:00
82;"264306399";1238;"adventure-works\vidur0";30;"Recruiter";02/09/1974 00:00:00;"S";"M";02/02/1999 00:00:00;false;50;45;true;0x596BE74737B17245AD556B3E68C13BD3;31/07/2004 00:00:00
83;"981597097";1179;"adventure-works\john1";38;"Production Technician - WC50";01/07/1968 00:00:00;"S";"M";02/02/1999 00:00:00;false;91;65;true;0x108499B60FEE07439E6EFE348F11012D;31/07/2004 00:00:00
84;"693325305";1222;"adventure-works\nancy0";7;"Production Technician - WC60";21/12/1978 00:00:00;"M";"F";03/02/1999 00:00:00;false;34;37;true;0x06B37E6B009A6A4998A94E94FE72F77C;31/07/2004 00:00:00
85;"521265716";1281;"adventure-works\pilar0";21;"Shipping and Receiving Supervisor";11/10/1962 00:00:00;"S";"M";03/02/1999 00:00:00;true;93;66;true;0x22CEBC013AD63F4C9BA8D3D5A4C3BD52;31/07/2004 00:00:00
86;"746373306";1120;"adventure-works\david3";184;"Production Technician - WC30";04/09/1971 00:00:00;"S";"M";03/02/1999 00:00:00;false;32;36;true;0xD458C38493242C45B7D6B212C893A009;31/07/2004 00:00:00
87;"750905084";1061;"adventure-works\david4";21;"Production Supervisor - WC40";02/08/1973 00:00:00;"S";"M";04/02/1999 00:00:00;false;73;56;true;0xE83865515B11F444AA7BE6C1D9F8ADFC;31/07/2004 00:00:00
88;"514829225";1163;"adventure-works\laura0";123;"Production Technician - WC45";26/01/1971 00:00:00;"S";"F";04/02/1999 00:00:00;false;75;57;true;0xBA65CDFC02270944AE5675AF1710AC78;31/07/2004 00:00:00
89;"750246141";1206;"adventure-works\margie0";16;"Production Technician - WC60";20/06/1976 00:00:00;"M";"F";05/02/1999 00:00:00;false;18;29;true;0x2F6E2D355B65A2499FECEFD7D8CD0D30;31/07/2004 00:00:00
90;"345106466";1265;"adventure-works\zainal0";200;"Document Control Manager";02/03/1966 00:00:00;"M";"M";05/02/1999 00:00:00;false;77;58;true;0xEDEE60DC9F9F354486664DE4FAFDE9C3;31/07/2004 00:00:00
91;"19312190";1137;"adventure-works\lorraine0";210;"Production Technician - WC40";28/12/1978 00:00:00;"M";"F";05/02/1999 00:00:00;false;49;44;true;0xB66639A6D69ABC40AFD4A83745879F4D;31/07/2004 00:00:00
92;"212801092";1104;"adventure-works\fadi0";143;"Production Technician - WC20";19/03/1979 00:00:00;"S";"M";05/02/1999 00:00:00;false;16;28;true;0x6F372399D02645489D99CC3D696CAEB8;31/07/2004 00:00:00
93;"769680433";1147;"adventure-works\ryan0";51;"Production Technician - WC40";15/07/1962 00:00:00;"M";"M";06/02/1999 00:00:00;false;59;49;true;0x6FBDE5109C2B9241A94D6A2D50EA1ADB;31/07/2004 00:00:00
94;"60517918";1249;"adventure-works\candy0";139;"Accounts Receivable Specialist";26/03/1966 00:00:00;"S";"F";07/02/1999 00:00:00;false;61;50;true;0x3B719F9E7C707E4F9504DE188052A045;31/07/2004 00:00:00
95;"431859843";1190;"adventure-works\nuan0";74;"Production Technician - WC50";29/04/1969 00:00:00;"S";"M";07/02/1999 00:00:00;false;2;21;true;0x579308A62F2FCC48AB3CD9B75A3C09D7;31/07/2004 00:00:00
96;"621209647";1233;"adventure-works\william0";44;"Scheduling Assistant";08/12/1971 00:00:00;"M";"M";08/02/1999 00:00:00;false;45;42;true;0x62CD681AE96F134690D42CD178E4E54A;31/07/2004 00:00:00
97;"420023788";1131;"adventure-works\bjorn0";173;"Production Technician - WC30";08/12/1979 00:00:00;"S";"M";08/02/1999 00:00:00;false;43;41;true;0xE0E142A95E2D584897C0947020E96860;31/07/2004 00:00:00
98;"199546871";1174;"adventure-works\scott0";197;"Production Technician - WC45";13/03/1977 00:00:00;"M";"M";09/02/1999 00:00:00;false;86;63;true;0x0AA55DE351BB084E8B8D87EF4650247A;31/07/2004 00:00:00
99;"830150469";1158;"adventure-works\michael1";87;"Production Technician - WC40";04/02/1981 00:00:00;"S";"M";11/02/1999 00:00:00;false;70;55;true;0x05F96B416C7D92468FD640F6C4F9ECC4;31/07/2004 00:00:00
100;"322160340";1099;"adventure-works\lane0";143;"Production Technician - WC20";24/10/1964 00:00:00;"M";"M";12/02/1999 00:00:00;false;11;25;true;0xB82724048338874AA6A3724EE1690F49;31/07/2004 00:00:00
101;"827686041";1201;"adventure-works\pete0";14;"Production Technician - WC50";07/03/1967 00:00:00;"S";"M";12/02/1999 00:00:00;false;13;26;true;0x3D811D1FDC3E74428E9B4519D71685B6;31/07/2004 00:00:00
102;"671089628";1260;"adventure-works\dan0";42;"Application Specialist";28/07/1971 00:00:00;"M";"M";12/02/1999 00:00:00;true;72;56;true;0x10D0B071C55A914E8EFAC311C1372A73;31/07/2004 00:00:00
103;"231203233";1244;"adventure-works\david5";140;"Assistant to the Chief Financial Officer";23/07/1954 00:00:00;"S";"M";13/02/1999 00:00:00;false;56;48;true;0x77FD81BE8C429F44AB7948B1CDF53D6A;31/07/2004 00:00:00
104;"204035155";1195;"adventure-works\lolan0";74;"Production Technician - WC50";25/02/1963 00:00:00;"M";"M";13/02/1999 00:00:00;false;7;23;true;0x8D769B9BC17CCE4D87CB765AB73A6AFF;31/07/2004 00:00:00
105;"992874797";1142;"adventure-works\paula1";210;"Production Technician - WC40";13/03/1977 00:00:00;"M";"F";13/02/1999 00:00:00;false;54;47;true;0x46BED25D4F20F34A91F55EF082F6D6A6;31/07/2004 00:00:00
106;"767955365";1034;"adventure-works\mary0";6;"Marketing Specialist";14/10/1952 00:00:00;"M";"F";13/02/1999 00:00:00;false;46;43;true;0x309889907E12764885CA7F6E03025281;31/07/2004 00:00:00
107;"342607223";1185;"adventure-works\mindaugas0";38;"Production Technician - WC50";07/06/1968 00:00:00;"M";"M";14/02/1999 00:00:00;false;97;68;true;0x8840781DCBDA85419F603D2DB4925BA5;31/07/2004 00:00:00
108;"45615666";1228;"adventure-works\eric0";21;"Production Supervisor - WC20";20/02/1975 00:00:00;"M";"M";15/02/1999 00:00:00;false;40;40;true;0x9BF3BC2AD788FA49820A83D223322BA5;31/07/2004 00:00:00
109;"295847284";1287;"adventure-works\ken0";null;"Chief Executive Officer";02/03/1959 00:00:00;"S";"M";15/02/1999 00:00:00;true;99;69;true;0xE55112F0A3968D44981E0F99D789110D;31/07/2004 00:00:00
110;"733022683";1126;"adventure-works\jason0";135;"Production Technician - WC30";08/01/1979 00:00:00;"S";"M";15/02/1999 00:00:00;false;38;39;true;0x1D506CC12D94B04EB5C4EF8119FBEBA2;31/07/2004 00:00:00
111;"381772114";1271;"adventure-works\mark0";41;"Quality Assurance Technician";31/05/1976 00:00:00;"S";"M";16/02/1999 00:00:00;false;83;61;true;0x27EF636B552C4C4FBE29FCE8B694DC4A;31/07/2004 00:00:00
112;"187369436";1169;"adventure-works\janeth0";159;"Production Technician - WC45";25/08/1962 00:00:00;"S";"F";16/02/1999 00:00:00;false;81;60;true;0xCBB861823FBCCE4BB36486035D870263;31/07/2004 00:00:00
113;"364818297";1110;"adventure-works\marc0";184;"Production Technician - WC30";24/11/1976 00:00:00;"M";"M";17/02/1999 00:00:00;false;22;31;true;0xBC1A151F4ADB1A438A5D15F46C5B8FFC;31/07/2004 00:00:00
114;"658797903";1051;"adventure-works\gigi0";158;"Research and Development Engineer";21/02/1969 00:00:00;"M";"F";17/02/1999 00:00:00;true;63;51;true;0xC6CDB6507075EF47957048A64B5F2ECF;31/07/2004 00:00:00
115;"886023130";1094;"adventure-works\paul1";108;"Production Technician - WC20";05/12/1980 00:00:00;"M";"M";18/02/1999 00:00:00;false;6;23;true;0x22A65BDC60B8EE41AF925FEB4779B589;31/07/2004 00:00:00
116;"749211824";1144;"adventure-works\frank0";210;"Production Technician - WC40";07/10/1977 00:00:00;"M";"M";18/02/1999 00:00:00;false;56;48;true;0x78D29ADD17EDCF408619BAF1BB9D1CF2;31/07/2004 00:00:00
117;"643805155";1255;"adventure-works\françois0";42;"Database Administrator";17/06/1965 00:00:00;"S";"M";18/02/1999 00:00:00;true;67;53;true;0x5D027F0C568DEF4886C0F09DB63D0182;31/07/2004 00:00:00
118;"92096924";1196;"adventure-works\diane2";14;"Production Technician - WC50";10/09/1979 00:00:00;"S";"F";19/02/1999 00:00:00;false;8;24;true;0x21291A7215C4DE46911113F25F428B8B;31/07/2004 00:00:00
119;"72636981";1035;"adventure-works\jill0";6;"Marketing Specialist";19/07/1969 00:00:00;"M";"F";19/02/1999 00:00:00;false;47;43;true;0x585C5753A1FB1A4CB8FF95E050B44393;31/07/2004 00:00:00
120;"563680513";1180;"adventure-works\angela0";38;"Production Technician - WC50";01/07/1981 00:00:00;"S";"F";21/02/1999 00:00:00;false;92;66;true;0xC3E1584972C82242954E09D2060EA7EF;31/07/2004 00:00:00
121;"584205124";1282;"adventure-works\matthias0";85;"Shipping and Receiving Clerk";13/12/1963 00:00:00;"M";"M";21/02/1999 00:00:00;false;94;67;true;0xDC63ED542CC6C74C89C2015DF49C49A5;31/07/2004 00:00:00
122;"458159238";1223;"adventure-works\bryan0";7;"Production Technician - WC60";28/09/1963 00:00:00;"S";"M";22/02/1999 00:00:00;false;35;37;true;0xE4D45246276AED479F51C377E293DA28;31/07/2004 00:00:00
